Area_Name,Year,Auto_Theft_Stolen,CPA_Cases_Registered,Victims_Total,Cases_Property_Stolen,Rape_Cases_Reported
Andaman & Nicobar Islands,2001.0,4.0,10.0,6.0,64,3.0
Andhra Pradesh,2001.0,2725.0,3078.0,607.0,7134,1.0
Arunachal Pradesh,2001.0,27.0,24.0,16.0,248,2.0
Assam,2001.0,205.0,17.0,128.0,2423,2.0
Bihar,2001.0,946.0,1.0,366.0,3231,0.0
Chandigarh,2001.0,281.0,6.0,5.0,364,2.0
Chhattisgarh,2001.0,790.0,137.0,549.0,4144,2.0
Dadra & Nagar Haveli,2001.0,12.0,0.0,152.0,34,0.0
Delhi,2001.0,3185.0,0.0,13.0,43,2.0
Goa,2001.0,152.0,184.0,363.0,3029,10.0
Gujarat,2001.0,4830.0,2.0,143.0,347,0.0
Haryana,2001.0,1967.0,417.0,39.0,4928,10.0
Himachal Pradesh,2001.0,47.0,9.0,187.0,3098,4.0
Jammu & Kashmir,2001.0,460.0,7.0,291.0,812,0.0
Jharkhand,2001.0,211.0,44.0,577.0,1345,4.0
Karnataka,2001.0,3087.0,12.0,156.0,1150,6.0
Kerala,2001.0,1038.0,183.0,2.0,6394,0.0
Madhya Pradesh,2001.0,3756.0,115.0,622.0,4185,6.0
Maharashtra,2001.0,6244.0,1.0,1068.0,1,3.0
Manipur,2001.0,57.0,635.0,8.0,13549,0.0
Meghalaya,2001.0,22.0,464.0,6.0,13881,3.0
Mizoram,2001.0,11.0,0.0,12.0,75,12.0
Nagaland,2001.0,53.0,6.0,2.0,170,0.0
Odisha,2001.0,778.0,9.0,260.0,417,12.0
Puducherry,2001.0,281.0,76.0,10.0,84,18.0
Punjab,2001.0,609.0,72.0,203.0,3061,0.0
Rajasthan,2001.0,3273.0,4.0,248.0,111,18.0
Sikkim,2001.0,2.0,191.0,6.0,1902,24.0
Tamil Nadu,2001.0,3858.0,110.0,525.0,6867,0.0
Tripura,2001.0,10.0,109.0,9.0,71,24.0
Uttar Pradesh,2001.0,4046.0,90.0,1323.0,5919,871.0
Uttarakhand,2001.0,236.0,13.0,110.0,198,4.0
West Bengal,2001.0,1904.0,1233.0,358.0,6953,867.0
Andaman & Nicobar Islands,2002.0,2.0,25.0,7.0,533,1002.0
Andhra Pradesh,2002.0,3025.0,13.0,662.0,426,5.0
Arunachal Pradesh,2002.0,49.0,13.0,4.0,49,997.0
Assam,2002.0,485.0,159.0,111.0,7581,946.0
Bihar,2002.0,996.0,40.0,397.0,249,15.0
Chandigarh,2002.0,328.0,17.0,9.0,2504,931.0
Chhattisgarh,2002.0,752.0,16.0,228.0,3182,1016.0
Dadra & Nagar Haveli,2002.0,31.0,6.0,1.0,336,5.0
Daman & Diu,2002.0,32.0,19.0,2.0,3731,1011.0
Delhi,2002.0,3291.0,0.0,130.0,38,935.0
Goa,2002.0,138.0,0.0,7.0,56,18.0
Gujarat,2002.0,5318.0,92.0,594.0,2360,917.0
Haryana,2002.0,1920.0,2.0,156.0,359,1049.0
Himachal Pradesh,2002.0,63.0,244.0,34.0,5153,1.0
Jammu & Kashmir,2002.0,270.0,3.0,163.0,3048,1048.0
Jharkhand,2002.0,597.0,8.0,306.0,642,1070.0
Karnataka,2002.0,3376.0,38.0,595.0,1321,7.0
Kerala,2002.0,1272.0,5103.0,155.0,1419,1063.0
Madhya Pradesh,2002.0,4225.0,57.0,537.0,6480,1257.0
Maharashtra,2002.0,6777.0,93.0,966.0,4447,13.0
Manipur,2002.0,98.0,1.0,14.0,9,1244.0
Meghalaya,2002.0,31.0,3.0,25.0,13344,1188.0
Mizoram,2002.0,18.0,323.0,9.0,13273,2.0
Nagaland,2002.0,89.0,0.0,3.0,44,1186.0
Odisha,2002.0,784.0,2.0,346.0,153,1362.0
Puducherry,2002.0,249.0,5.0,11.0,446,0.0
Punjab,2002.0,725.0,6.0,141.0,110,1362.0
Rajasthan,2002.0,3696.0,53.0,261.0,2755,33.0
Tamil Nadu,2002.0,4319.0,0.0,518.0,129,0.0
Tripura,2002.0,71.0,207.0,12.0,1928,33.0
Uttar Pradesh,2002.0,4126.0,124.0,1453.0,6300,38.0
Uttarakhand,2002.0,253.0,0.0,67.0,45,0.0
West Bengal,2002.0,2704.0,313.0,272.0,5492,38.0
Andaman & Nicobar Islands,2003.0,3.0,11.0,9.0,192,31.0
Andhra Pradesh,2003.0,3865.0,1978.0,737.0,4861,0.0
Arunachal Pradesh,2003.0,49.0,32.0,0.0,496,31.0
Assam,2003.0,497.0,10.0,103.0,348,42.0
Bihar,2003.0,1183.0,9.0,393.0,56,0.0
Chandigarh,2003.0,274.0,140.0,6.0,8969,42.0
Chhattisgarh,2003.0,752.0,6.0,216.0,253,35.0
Dadra & Nagar Haveli,2003.0,10.0,15.0,3.0,2606,0.0
Daman & Diu,2003.0,26.0,4.0,0.0,2986,35.0
Delhi,2003.0,3360.0,4.0,131.0,204,37.0
Goa,2003.0,124.0,28.0,14.0,3621,0.0
Gujarat,2003.0,6131.0,1.0,356.0,41,37.0
Haryana,2003.0,1989.0,0.0,151.0,41,48.0
Himachal Pradesh,2003.0,78.0,108.0,34.0,1898,0.0
Jammu & Kashmir,2003.0,301.0,1.0,102.0,244,48.0
Jharkhand,2003.0,137.0,242.0,396.0,5684,42.0
Karnataka,2003.0,3597.0,15.0,525.0,2967,0.0
Kerala,2003.0,1070.0,4.0,126.0,645,42.0
Lakshadweep,2003.0,1.0,44.0,454.0,1526,59.0
Madhya Pradesh,2003.0,4291.0,5106.0,996.0,1374,0.0
Maharashtra,2003.0,7078.0,74.0,11.0,6049,59.0
Manipur,2003.0,107.0,82.0,10.0,4164,47.0
Meghalaya,2003.0,41.0,0.0,9.0,6,0.0
Mizoram,2003.0,31.0,29.0,6.0,12641,47.0
Nagaland,2003.0,197.0,488.0,333.0,13202,817.0
Odisha,2003.0,752.0,2.0,8.0,68,8.0
Puducherry,2003.0,284.0,5.0,175.0,160,809.0
Punjab,2003.0,818.0,4.0,271.0,487,970.0
Rajasthan,2003.0,4482.0,4.0,6.0,82,10.0
Tamil Nadu,2003.0,4317.0,85.0,543.0,2910,960.0
Tripura,2003.0,52.0,5.0,23.0,126,1095.0
Uttar Pradesh,2003.0,3376.0,121.0,999.0,2094,19.0
Uttarakhand,2003.0,269.0,100.0,62.0,5779,1076.0
West Bengal,2003.0,2049.0,3.0,297.0,48,1171.0
Andaman & Nicobar Islands,2004.0,8.0,88.0,5.0,4849,15.0
Andhra Pradesh,2004.0,3857.0,1.0,655.0,167,1156.0
Arunachal Pradesh,2004.0,75.0,1227.0,2.0,2928,1238.0
Assam,2004.0,551.0,24.0,84.0,513,7.0
Bihar,2004.0,1829.0,98.0,425.0,342,1231.0
Chandigarh,2004.0,364.0,15.0,8.0,69,1244.0
Chhattisgarh,2004.0,1131.0,649.0,269.0,8041,12.0
Dadra & Nagar Haveli,2004.0,15.0,25.0,2.0,215,1232.0
Daman & Diu,2004.0,10.0,14.0,1.0,2544,1437.0
Delhi,2004.0,4342.0,157.0,125.0,3175,1.0
Goa,2004.0,112.0,0.0,17.0,186,1436.0
Gujarat,2004.0,6075.0,29.0,340.0,3720,1438.0
Haryana,2004.0,2420.0,1.0,159.0,20,7.0
Himachal Pradesh,2004.0,82.0,0.0,25.0,35,1431.0
Jammu & Kashmir,2004.0,313.0,123.0,107.0,1875,1631.0
Jharkhand,2004.0,597.0,2.0,399.0,245,9.0
Karnataka,2004.0,4578.0,249.0,561.0,5670,1622.0
Kerala,2004.0,1233.0,50.0,137.0,2779,1721.0
Madhya Pradesh,2004.0,5481.0,4.0,494.0,722,13.0
Maharashtra,2004.0,8748.0,284.0,1004.0,1420,1708.0
Manipur,2004.0,106.0,0.0,15.0,1419,888.0
Meghalaya,2004.0,38.0,55.0,8.0,6093,8.0
Mizoram,2004.0,0.0,60.0,4.0,4359,880.0
Nagaland,2004.0,24.0,0.0,17.0,2,1040.0
Odisha,2004.0,1300.0,44.0,357.0,12130,3.0
Puducherry,2004.0,313.0,412.0,3.0,13896,1037.0
Punjab,2004.0,629.0,1.0,194.0,66,985.0
Rajasthan,2004.0,5434.0,6.0,287.0,130,1.0
Tamil Nadu,2004.0,3645.0,2.0,5.0,250,984.0
Tripura,2004.0,28.0,10.0,493.0,52,1390.0
Uttar Pradesh,2004.0,6449.0,81.0,44.0,2990,6.0
Uttarakhand,2004.0,387.0,3.0,1401.0,86,1384.0
West Bengal,2004.0,2093.0,94.0,47.0,1766,1147.0
Andaman & Nicobar Islands,2005.0,5.0,127.0,425.0,5619,10.0
Andhra Pradesh,2005.0,4659.0,0.0,4.0,64,1137.0
Arunachal Pradesh,2005.0,117.0,113.0,722.0,4147,1232.0
Assam,2005.0,551.0,3.0,1.0,166,7.0
Bihar,2005.0,1983.0,667.0,65.0,4192,1225.0
Chandigarh,2005.0,368.0,20.0,442.0,516,1555.0
Chhattisgarh,2005.0,1426.0,62.0,3.0,547,2.0
Dadra & Nagar Haveli,2005.0,14.0,19.0,323.0,68,1553.0
Daman & Diu,2005.0,18.0,6271.0,158.0,7894,1302.0
Delhi,2005.0,4574.0,0.0,14.0,263,3.0
Goa,2005.0,158.0,28.0,346.0,2255,1299.0
Gujarat,2005.0,6199.0,13.0,143.0,3117,929.0
Haryana,2005.0,3696.0,0.0,36.0,223,1.0
Himachal Pradesh,2005.0,65.0,40.0,102.0,3621,928.0
Jammu & Kashmir,2005.0,291.0,0.0,173.0,25,795.0
Jharkhand,2005.0,476.0,0.0,585.0,37,2.0
Karnataka,2005.0,5073.0,86.0,147.0,2093,793.0
Kerala,2005.0,1203.0,3.0,1.0,257,18.0
Madhya Pradesh,2005.0,5741.0,267.0,528.0,5140,2.0
Maharashtra,2005.0,9518.0,94.0,980.0,3425,16.0
Manipur,2005.0,90.0,3.0,19.0,691,18.0
Meghalaya,2005.0,23.0,34.0,19.0,1397,2.0
Mizoram,2005.0,0.0,1.0,4.0,1600,16.0
Nagaland,2005.0,170.0,65.0,17.0,5986,18.0
Odisha,2005.0,1525.0,186.0,326.0,3914,1.0
Puducherry,2005.0,224.0,0.0,9.0,2,17.0
Punjab,2005.0,695.0,588.0,187.0,11192,19.0
Rajasthan,2005.0,5425.0,434.0,296.0,14735,1.0
Sikkim,2005.0,1.0,4.0,4.0,62,18.0
Tamil Nadu,2005.0,3108.0,6.0,462.0,137,33.0
Tripura,2005.0,52.0,0.0,64.0,442,1.0
Uttar Pradesh,2005.0,5895.0,4.0,1354.0,93,32.0
Uttarakhand,2005.0,339.0,55.0,53.0,3029,19.0
West Bengal,2005.0,2166.0,3.0,365.0,67,5.0
Andaman & Nicobar Islands,2006.0,5.0,98.0,1.0,1933,14.0
Andhra Pradesh,2006.0,4554.0,116.0,744.0,5003,22.0
Arunachal Pradesh,2006.0,74.0,0.0,0.0,79,2.0
Assam,2006.0,674.0,126.0,76.0,3738,20.0
Bihar,2006.0,1700.0,10.0,413.0,170,20.0
Chandigarh,2006.0,361.0,1378.0,4.0,3496,3.0
Chhattisgarh,2006.0,1910.0,9.0,336.0,489,17.0
Dadra & Nagar Haveli,2006.0,12.0,24.0,3.0,739,29.0
Daman & Diu,2006.0,19.0,14.0,2.0,82,0.0
Delhi,2006.0,4627.0,5461.0,128.0,8169,29.0
Goa,2006.0,170.0,8.0,10.0,257,31.0
Gujarat,2006.0,6409.0,11.0,366.0,2911,0.0
Haryana,2006.0,4641.0,10.0,156.0,3531,31.0
Himachal Pradesh,2006.0,74.0,2.0,31.0,189,959.0
Jammu & Kashmir,2006.0,287.0,28.0,76.0,3507,6.0
Jharkhand,2006.0,1118.0,0.0,214.0,41,953.0
Karnataka,2006.0,4808.0,0.0,588.0,60,992.0
Kerala,2006.0,1200.0,113.0,138.0,1950,63.0
Lakshadweep,2006.0,2.0,1.0,510.0,230,929.0
Madhya Pradesh,2006.0,6771.0,232.0,995.0,5363,898.0
Maharashtra,2006.0,10104.0,18.0,9.0,3996,39.0
Manipur,2006.0,103.0,2477.0,11.0,732,859.0
Meghalaya,2006.0,56.0,63.0,3.0,1351,969.0
Mizoram,2006.0,37.0,3.0,8.0,1428,78.0
Nagaland,2006.0,50.0,55.0,384.0,5967,891.0
Odisha,2006.0,1410.0,99.0,9.0,3948,990.0
Puducherry,2006.0,304.0,0.0,237.0,2,110.0
Punjab,2006.0,844.0,819.0,249.0,10729,880.0
Rajasthan,2006.0,5716.0,417.0,7.0,14723,995.0
Sikkim,2006.0,1.0,0.0,515.0,55,97.0
Tamil Nadu,2006.0,2784.0,4.0,34.0,140,898.0
Tripura,2006.0,15.0,7.0,927.0,408,982.0
Uttar Pradesh,2006.0,6571.0,7.0,55.0,68,63.0
Uttarakhand,2006.0,374.0,2481.0,447.0,3118,919.0
West Bengal,2006.0,2303.0,3.0,6.0,84,978.0
Andaman & Nicobar Islands,2007.0,8.0,86.0,886.0,2277,31.0
Andhra Pradesh,2007.0,5616.0,135.0,3.0,4879,947.0
Arunachal Pradesh,2007.0,104.0,0.0,88.0,84,976.0
Assam,2007.0,545.0,115.0,390.0,3300,24.0
Bihar,2007.0,1871.0,17.0,6.0,182,952.0
Chandigarh,2007.0,474.0,825.0,310.0,3545,1012.0
Chhattisgarh,2007.0,1684.0,8.0,4.0,410,21.0
Dadra & Nagar Haveli,2007.0,16.0,27.0,1.0,601,991.0
Daman & Diu,2007.0,22.0,20.0,127.0,90,6.0
Delhi,2007.0,4641.0,200.0,16.0,7609,0.0
Goa,2007.0,180.0,16.0,314.0,240,6.0
Gujarat,2007.0,7252.0,18.0,167.0,2603,4.0
Haryana,2007.0,4746.0,7.0,35.0,3259,0.0
Himachal Pradesh,2007.0,114.0,3.0,40.0,191,4.0
Jammu & Kashmir,2007.0,221.0,6.0,237.0,3632,1.0
Jharkhand,2007.0,1250.0,0.0,505.0,28,0.0
Karnataka,2007.0,4877.0,0.0,141.0,46,1.0
Kerala,2007.0,1298.0,87.0,551.0,2055,7.0
Lakshadweep,2007.0,2.0,11.0,1014.0,271,0.0
Madhya Pradesh,2007.0,7864.0,226.0,20.0,4747,7.0
Maharashtra,2007.0,11189.0,19.0,7.0,4231,5.0
Manipur,2007.0,115.0,6.0,18.0,831,0.0
Meghalaya,2007.0,45.0,17.0,14.0,1458,5.0
Mizoram,2007.0,51.0,0.0,372.0,1489,6.0
Nagaland,2007.0,117.0,86.0,10.0,5449,0.0
Odisha,2007.0,1525.0,89.0,225.0,3824,6.0
Puducherry,2007.0,478.0,0.0,319.0,2,7.0
Punjab,2007.0,1110.0,4562.0,3.0,11230,0.0
Rajasthan,2007.0,6574.0,354.0,604.0,14771,7.0
Sikkim,2007.0,3.0,0.0,50.0,70,6.0
Tamil Nadu,2007.0,2545.0,16.0,899.0,203,0.0
Tripura,2007.0,51.0,0.0,77.0,424,6.0
Uttar Pradesh,2007.0,7579.0,3.0,647.0,118,4.0
Uttarakhand,2007.0,418.0,45.0,2.0,3073,0.0
West Bengal,2007.0,1954.0,3.0,830.0,86,4.0
Andaman & Nicobar Islands,2008.0,10.0,144.0,1.0,2616,3.0
Andhra Pradesh,2008.0,6993.0,84.0,103.0,4951,0.0
Arunachal Pradesh,2008.0,43.0,3.0,637.0,83,3.0
Assam,2008.0,1255.0,141.0,6.0,3717,0.0
Bihar,2008.0,2445.0,23.0,363.0,193,0.0
Chandigarh,2008.0,662.0,1693.0,4.0,3869,0.0
Chhattisgarh,2008.0,1645.0,9.0,0.0,508,0.0
Dadra & Nagar Haveli,2008.0,8.0,17.0,116.0,399,0.0
Daman & Diu,2008.0,24.0,15.0,20.0,78,0.0
Delhi,2008.0,5936.0,129.0,340.0,8219,5.0
Goa,2008.0,213.0,0.0,185.0,245,0.0
Gujarat,2008.0,8976.0,12.0,36.0,3147,5.0
Haryana,2008.0,5779.0,27.0,30.0,3414,1.0
Himachal Pradesh,2008.0,153.0,0.0,266.0,257,0.0
Jammu & Kashmir,2008.0,430.0,413.0,624.0,4112,1.0
Jharkhand,2008.0,2156.0,0.0,128.0,49,2.0
Karnataka,2008.0,7552.0,0.0,1.0,45,0.0
Kerala,2008.0,1329.0,93.0,516.0,1926,2.0
Lakshadweep,2008.0,1.0,11.0,1049.0,291,3.0
Madhya Pradesh,2008.0,10088.0,246.0,19.0,4932,0.0
Maharashtra,2008.0,13589.0,42.0,15.0,4249,3.0
Manipur,2008.0,232.0,8.0,2.0,872,1.0
Meghalaya,2008.0,47.0,40.0,6.0,1332,0.0
Mizoram,2008.0,25.0,1.0,545.0,1375,1.0
Nagaland,2008.0,121.0,77.0,8.0,6258,0.0
Odisha,2008.0,1771.0,132.0,219.0,3533,0.0
Puducherry,2008.0,418.0,0.0,287.0,3,0.0
Punjab,2008.0,1307.0,23.0,3.0,11072,1.0
Rajasthan,2008.0,7837.0,373.0,624.0,15170,0.0
Sikkim,2008.0,1.0,1.0,63.0,76,1.0
Tamil Nadu,2008.0,3424.0,6.0,840.0,166,1.0
Tripura,2008.0,54.0,0.0,48.0,337,0.0
Uttar Pradesh,2008.0,8419.0,3.0,250.0,120,1.0
Uttarakhand,2008.0,506.0,41.0,8.0,3064,381.0
West Bengal,2008.0,2158.0,5.0,800.0,90,9.0
Andaman & Nicobar Islands,2009.0,9.0,477.0,1.0,2621,372.0
Andhra Pradesh,2009.0,7244.0,66.0,97.0,4526,403.0
Arunachal Pradesh,2009.0,83.0,0.0,672.0,81,32.0
Assam,2009.0,1135.0,124.0,3.0,3849,371.0
Bihar,2009.0,3200.0,23.0,326.0,218,490.0
Chandigarh,2009.0,648.0,3008.0,6.0,4142,21.0
Chhattisgarh,2009.0,1882.0,12.0,1.0,376,469.0
Dadra & Nagar Haveli,2009.0,10.0,37.0,126.0,462,551.0
Daman & Diu,2009.0,27.0,15.0,31.0,86,16.0
Delhi,2009.0,7843.0,128.0,325.0,7702,535.0
Goa,2009.0,310.0,0.0,221.0,201,658.0
Gujarat,2009.0,9821.0,9.0,39.0,3149,32.0
Haryana,2009.0,6070.0,38.0,46.0,3566,626.0
Himachal Pradesh,2009.0,129.0,0.0,201.0,241,623.0
Jammu & Kashmir,2009.0,362.0,68.0,679.0,3975,26.0
Jharkhand,2009.0,2168.0,0.0,109.0,43,597.0
Karnataka,2009.0,9724.0,0.0,625.0,33,598.0
Kerala,2009.0,1498.0,69.0,1000.0,1733,18.0
Lakshadweep,2009.0,1.0,9.0,18.0,283,580.0
Madhya Pradesh,2009.0,9826.0,352.0,22.0,4385,466.0
Maharashtra,2009.0,14723.0,167.0,3.0,4077,37.0
Manipur,2009.0,253.0,10.0,9.0,779,429.0
Meghalaya,2009.0,99.0,39.0,460.0,1550,469.0
Mizoram,2009.0,33.0,1060.0,10.0,1392,19.0
Nagaland,2009.0,83.0,76.0,203.0,6629,450.0
Odisha,2009.0,2081.0,81.0,328.0,3301,507.0
Puducherry,2009.0,487.0,0.0,6.0,1,21.0
Punjab,2009.0,1746.0,4014.0,587.0,10661,486.0
Rajasthan,2009.0,9787.0,323.0,57.0,15145,12.0
Sikkim,2009.0,1.0,1.0,955.0,68,0.0
Tamil Nadu,2009.0,4865.0,3.0,51.0,135,12.0
Tripura,2009.0,63.0,12.0,693.0,381,12.0
Uttar Pradesh,2009.0,11181.0,6.0,5.0,82,0.0
Uttarakhand,2009.0,556.0,192.0,624.0,2937,12.0
West Bengal,2009.0,3034.0,2.0,2.0,71,31.0
Andaman & Nicobar Islands,2010.0,21.0,69.0,86.0,2507,0.0
Andhra Pradesh,2010.0,6116.0,161.0,662.0,5022,31.0
Arunachal Pradesh,2010.0,133.0,23.0,2.0,93,37.0
Assam,2010.0,458.0,111.0,357.0,4221,1.0
Bihar,2010.0,3575.0,5.0,1.0,230,36.0
Chandigarh,2010.0,536.0,7912.0,119.0,4084,20.0
Chhattisgarh,2010.0,1848.0,14.0,7.0,276,1.0
Dadra & Nagar Haveli,2010.0,23.0,6.0,268.0,329,19.0
Daman & Diu,2010.0,25.0,24.0,213.0,80,21.0
Delhi,2010.0,9085.0,112.0,28.0,8126,1.0
Goa,2010.0,337.0,0.0,30.0,211,20.0
Gujarat,2010.0,8403.0,9.0,256.0,3458,20.0
Haryana,2010.0,8687.0,37.0,731.0,3437,1.0
Himachal Pradesh,2010.0,137.0,0.0,126.0,236,19.0
Jammu & Kashmir,2010.0,510.0,29.0,551.0,3711,30.0
Jharkhand,2010.0,2268.0,0.0,1047.0,25,0.0
Karnataka,2010.0,9001.0,0.0,19.0,27,30.0
Kerala,2010.0,1142.0,58.0,11.0,1502,47.0
Madhya Pradesh,2010.0,10870.0,8.0,8.0,344,1.0
Maharashtra,2010.0,15126.0,274.0,5.0,3850,46.0
Manipur,2010.0,236.0,40.0,536.0,4445,36.0
Meghalaya,2010.0,99.0,17.0,4.0,743,2.0
Mizoram,2010.0,38.0,79.0,242.0,1385,34.0
Nagaland,2010.0,140.0,8.0,306.0,1357,286.0
Odisha,2010.0,2250.0,81.0,8.0,6059,2.0
Puducherry,2010.0,371.0,118.0,629.0,2468,284.0
Punjab,2010.0,1572.0,0.0,63.0,3,267.0
Rajasthan,2010.0,11199.0,30.0,859.0,9897,10.0
Sikkim,2010.0,6.0,413.0,44.0,15724,257.0
Tamil Nadu,2010.0,4791.0,0.0,893.0,66,236.0
Tripura,2010.0,43.0,5.0,7.0,154,7.0
Uttar Pradesh,2010.0,13168.0,2.0,2176.0,425,229.0
Uttarakhand,2010.0,727.0,7.0,67.0,62,339.0
West Bengal,2010.0,3539.0,30.0,1228.0,2855,14.0
Andhra Pradesh,2001.0,309.0,4.0,3277.0,72,325.0
Arunachal Pradesh,2001.0,9.0,36.0,10.0,2660,324.0
Assam,2001.0,15.0,193.0,1108.0,4454,19.0
Bihar,2001.0,175.0,0.0,3.0,72,305.0
Chandigarh,2001.0,206.0,107.0,422.0,4715,354.0
Chhattisgarh,2001.0,105.0,28.0,24.0,217,16.0
Dadra & Nagar Haveli,2001.0,2.0,8701.0,917.0,4073,338.0
Delhi,2001.0,4075.0,15.0,675.0,294,316.0
Goa,2001.0,23.0,5.0,83.0,388,3.0
Gujarat,2001.0,460.0,,1225.0,10,313.0
Haryana,2001.0,843.0,,1216.0,316,374.0
Himachal Pradesh,2001.0,87.0,,1101.0,41,4.0
Jammu & Kashmir,2001.0,169.0,,333.0,374,370.0
Jharkhand,2001.0,16.0,,1803.0,922,433.0
Karnataka,2001.0,597.0,,1882.0,26,18.0
Kerala,2001.0,499.0,,225.0,147,415.0
Madhya Pradesh,2001.0,289.0,,163.0,13,408.0
Maharashtra,2001.0,1960.0,,19.0,5,4.0
Manipur,2001.0,6.0,,107.0,479,404.0
Meghalaya,2001.0,20.0,,745.0,20,398.0
Mizoram,2001.0,5.0,,15.0,1348,0.0
Nagaland,2001.0,64.0,,584.0,530,398.0
Odisha,2001.0,43.0,,1027.0,59,361.0
Puducherry,2001.0,3.0,,13.0,82,52.0
Punjab,2001.0,502.0,,1137.0,153,309.0
Rajasthan,2001.0,570.0,,231.0,427,353.0
Sikkim,2001.0,4.0,,6857.0,279,14.0
Tamil Nadu,2001.0,197.0,,271.0,1,339.0
Uttar Pradesh,2001.0,1565.0,,1315.0,481,386.0
Uttarakhand,2001.0,132.0,,10.0,1436,20.0
West Bengal,2001.0,499.0,,1989.0,33,366.0
Andhra Pradesh,2002.0,190.0,,57.0,19,461.0
Arunachal Pradesh,2002.0,2.0,,1142.0,22,15.0
Assam,2002.0,22.0,,3434.0,3,446.0
Bihar,2002.0,122.0,,22.0,224,608.0
Chandigarh,2002.0,286.0,,616.0,5,10.0
Chhattisgarh,2002.0,128.0,,10.0,368,598.0
Dadra & Nagar Haveli,2002.0,6.0,,6.0,626,488.0
Daman & Diu,2002.0,4.0,,411.0,1,3.0
Delhi,2002.0,3632.0,,24.0,313,485.0
Goa,2002.0,8.0,,1733.0,4,631.0
Gujarat,2002.0,565.0,,655.0,991,8.0
Haryana,2002.0,780.0,,98.0,171,623.0
Himachal Pradesh,2002.0,67.0,,1144.0,486,603.0
Jammu & Kashmir,2002.0,308.0,,1182.0,4,12.0
Jharkhand,2002.0,104.0,,1109.0,382,591.0
Karnataka,2002.0,523.0,,299.0,23,720.0
Kerala,2002.0,623.0,,1858.0,558,15.0
Madhya Pradesh,2002.0,318.0,,2025.0,1214,705.0
Maharashtra,2002.0,1931.0,,208.0,35,124.0
Manipur,2002.0,16.0,,159.0,92,0.0
Meghalaya,2002.0,20.0,,20.0,12,124.0
Mizoram,2002.0,11.0,,105.0,5,137.0
Nagaland,2002.0,50.0,,802.0,444,1.0
Odisha,2002.0,45.0,,20.0,16,136.0
Puducherry,2002.0,5.0,,631.0,1188,126.0
Punjab,2002.0,477.0,,1063.0,524,2.0
Rajasthan,2002.0,594.0,,13.0,67,124.0
Sikkim,2002.0,5.0,,1269.0,91,153.0
Tamil Nadu,2002.0,158.0,,189.0,333,8.0
Tripura,2002.0,1.0,,6085.0,393,145.0
Uttar Pradesh,2002.0,1385.0,,268.0,252,141.0
Uttarakhand,2002.0,97.0,,1181.0,0,5.0
West Bengal,2002.0,586.0,,12.0,507,136.0
Andaman & Nicobar Islands,2003.0,1.0,,2177.0,1392,113.0
Andhra Pradesh,2003.0,366.0,,77.0,28,7.0
Arunachal Pradesh,2003.0,1.0,,1088.0,8,106.0
Assam,2003.0,210.0,,3379.0,26,159.0
Bihar,2003.0,118.0,,15.0,10,2.0
Chandigarh,2003.0,284.0,,581.0,202,157.0
Chhattisgarh,2003.0,101.0,,8.0,11,157.0
Dadra & Nagar Haveli,2003.0,4.0,,6.0,373,1.0
Daman & Diu,2003.0,1.0,,371.0,383,156.0
Delhi,2003.0,3626.0,,20.0,1,183.0
Goa,2003.0,8.0,,808.0,82,10.0
Gujarat,2003.0,661.0,,597.0,12,173.0
Haryana,2003.0,784.0,,96.0,262,160.0
Himachal Pradesh,2003.0,92.0,,1013.0,0,7.0
Jammu & Kashmir,2003.0,206.0,,1086.0,451,153.0
Jharkhand,2003.0,191.0,,1051.0,3,169.0
Karnataka,2003.0,351.0,,309.0,296,2.0
Kerala,2003.0,512.0,,1773.0,28,167.0
Madhya Pradesh,2003.0,714.0,,1955.0,611,192.0
Maharashtra,2003.0,1855.0,,174.0,1096,3.0
